Time Stamp,Infected,Dead,Recovered,Susceptible
0,1,0,0,149
0.5,1,0,0,149
1,1,0,0,149
1.5,1,0,0,149
2,1,0,0,149
2.5,1,0,0,149
3,1,0,0,149
3.5,1,0,0,149
4,1,0,0,149
4.5,1,0,0,149
5,1,0,0,149
5.5,2,0,0,148
6,2,0,0,148
6.5,3,0,0,147
7,4,0,0,146
7.5,7,0,0,143
8,8,0,0,142
8.5,8,0,0,142
9,11,0,0,139
9.5,14,0,0,136
10,13,0,1,136
10.5,13,0,1,136
11,14,0,1,135
11.5,17,0,1,132
12,18,0,1,131
12.5,21,0,1,128
13,25,0,1,124
13.5,26,0,1,123
14,33,0,1,116
14.5,35,0,1,114
15,37,0,2,111
15.5,41,0,2,107
16,46,0,3,101
16.5,48,0,3,99
17,50,0,4,96
17.5,51,0,7,92
18,52,0,8,90
18.5,52,0,10,88
19,54,0,12,84
19.5,55,0,14,81
20,63,0,14,73
20.5,67,0,14,69
21,69,1,17,63
21.5,71,1,17,61
22,73,1,19,57
22.5,74,1,23,52
23,76,1,25,48
23.5,78,1,26,45
24,72,1,33,44
24.5,73,1,36,40
25,74,1,38,37
25.5,72,1,44,33
26,70,1,48,31
26.5,73,1,51,25
27,72,1,54,23
27.5,72,1,57,20
28,72,1,61,16
28.5,71,1,62,16
29,70,1,65,14
29.5,68,2,67,13
30,61,2,76,11
30.5,60,2,80,8
31,54,2,87,7
31.5,53,2,88,7
32,51,2,93,4
32.5,47,2,97,4
33,44,2,101,3
33.5,42,2,103,3
34,42,2,104,2
34.5,37,2,109,2
35,33,2,113,2
35.5,31,2,115,2
36,27,2,119,2
36.5,23,3,122,2
37,21,3,124,2
37.5,17,3,128,2
38,14,3,131,2
38.5,14,3,131,2
39,12,3,133,2
39.5,10,4,134,2
40,9,4,135,2
40.5,6,5,137,2
41,5,5,138,2
41.5,3,5,140,2
42,2,5,141,2
42.5,2,5,141,2
43,1,5,142,2
43.5,1,5,142,2
44,0,5,143,2
44.5,0,5,143,2
45,0,5,143,2
45.5,0,5,143,2
46,0,5,143,2
46.5,0,5,143,2
